"lat","lon"
34.072597,-120.394833
35.168237,-120.73078
36.5546,-121.933912
38.509515,-123.245711
44.637241,-124.075964
38.551466,-123.313036
45.209566,-123.987424
36.304249,-121.903205
34.037384,-120.085262
43.11807,-124.4354
36.8,-121.9333333
34.76666667,-120.75
34.21666667,-120.2
33.93333333,-118.5833333
32.73333333,-119.2
46.12,-124.65
44.54,-124.4
42.9,-124.72
47.15,-124.8
41.17,-124.37
45.75,-124.6
43.9,-124.65
39.1,-123.79
47.65,-125.6
46.290258,-124.120778
43.396826,-124.343241
44.614439,-124.199215
36.775,-122.1833333
36.025,-121.599773
42.355,-124.29883
39.195,-123.825245
39.83,-123.819752
33.94,-118.519363
32.81,-117.209816
34.865,-120.685043
39.447263,-123.820739
33.730776,-118.380716
32.688108,-117.254991
32.924106,-118.455902
33.26876,-119.488572
33.436537,-118.440526
34.061938,-119.765563
33.988149,-120.017407
32.649782,-79.82881
41.665,-69.905105
24.571,-81.843082
32.68961667,-117.16415
28.46666667,-97.16666667
37.3,-76.4
34.71666667,-77.26666667
29.78333333,-85.3
28.05,-82.78333333
29.713,-85.5149
38.932974,-74.901942
48.12,-122.77
43.5,-127
27.332511,-110.648849
31.414109,-114.753207
29.843635,-114.337499
30.628711,-114.611207
30.679284,-114.462114
27.773,-82.583261
29.26666667,-111.974
32.61666667,-117.1333333
33.43333333,-118.5
33.7,-118.05
33.73333333,-118.1
