"lat","lon"
34.8,-70
28.304,-75
29.229,-84
25.205,-76
27.344437,-82.567594
45.8355555555556,-124.801666666667
29.718192,-84.9814
29.135342,-83.042618
32.76209,-79.886029
27.799609,-97.330457
25.037202,-80.725444
30.426693,-86.583054
27.691957,-80.351466
34.715791,-76.72042
30.40297,-81.395411
31.001457,-81.3979225
29.67132,-83.392316
27.739577,-82.59122
27,-91
26.0833333333333,-80
33.0833333333333,-79
26.0188888888889,-97.0011111111111
30.150349,-86.485161
32.0936,-75.9942
41.1,-72.8
27.7,-80.4
31.6,-80.7
29.5,-84.7
34.3,-77.4
39.5,-73.8
35.8,-75.4
32.3,-79.7
33.3,-78.7
36.9,-75.5
47.7511,-124.6
28,-96.9
27.7,-97.2
28.69,-95.8
26.3,-97.27
28.4,-96.35
28.27,-96.7
29.8,-93.8
27.25,-97.4
41.5,-66.1
25.9166666666667,-81.6333333333333
24.766114,-80.982893
47.0847222222222,-125.050833333333
47.583333,-122.5
48.9,-123.1
49.17593,-123.620235
41.066253,-68.564823
29.380941,-83.199384
34.18,-119.93
25.086,-81.841437
37.75,-122.25
33.45,-117.6833
34.0333333333333,-118.6667
24.628389,-81.94968
24.7556,-81.1231
44.02,-69.24
32.43,-79.05
35.11,-75.42
31.03,-81.26
43.05,-70.4
33.52,-78.36
34.43,-76.41
44.26,-68.2
41.38,-71.24
35.47,-75.31
40.45,-73
38.24,-76.31
33.24,-79.08
40.25,-73.59
39.01,-76.24
37.29,-75.57
45.05,-67.04
29.41,-81.15
45.13,-66.08
39.24,-74.2
32,-80.57
41.35,-70.31
37.5,-74
40,-70
35.5,-74.5
41,-69
39.5,-72
43,-66.5
29.719077,-84.968155
30.30666,-89.311634
28.827367,-95.528208
30.403458,-81.38047
26.726098,-97.43534
29.913284,-93.845511
40,-124
38.334,-123.096967
40.820319,-124.225185
36.614,-122.153004
47.413,-122.377085
37.818,-122.544719
48.517,-122.953711
48.316,-123.28435
25.349,-80.259
29.9,-88.535012
30.155,-85.857669
31.5,-80.844436
34.5,-76.254793
33,-78.7278
33.141301,-117.343668
37,-123
33.854146,-118.604253
32.780676,-117.246316
33.208387,-117.397507
32.74804,-117.305393
32.668495,-117.142071
33.007198,-117.287726
34.1333333333333,-120
32.762,-117.018333333333
30.092861,-85.776139
32.741236,-117.496875
44.2886111111111,-68.4180555555556
36.835,-75.3716666666667
42.383603,-70.771923
31.6866666666667,-114.499722222222
48.534,-123.001653
48.596,-122.956162
47.753,-122.396214
48.55,-122.971097
48.459,-123.062936
48.553,-123.000833333333
48.559,-122.085833333333
47.699,-122.386667
48.591,-122.151388888889
48.485,-123.001388888889
46.075,-124.51761
45.90849,-124.46891
45.69968,-124.50905
40.40833,-124.555
43.9759,-124.65957
39.48122,-123.85387
48.50554,-125.79765
42.72806,-124.67289
38.075,-123.45167
37.87756,-123.04324
35.15105,-120.82881
34.09976,-120.54119
34.34948,-119.60536
36.81341,-122.12877
38.384647,-123.751836
46.227506,-124.230677
49.639,-125.083333333333
43.1175,-124.4349
38.2304,-123.0144
42.05111,-124.3068
42.8385,-124.5666
44.8107,-124.0679
37.4632,-122.46
48.424,-124.6904
33.7338,-118.3893
35.6712,-121.2893
32.727,-117.2771
34.0547,-120.35
34.3963,-119.6937
40.0305,-124.0828
44.645,-124.268105
48.557,-122.547414
32.639,-117.666497
42.056454,-68.31162
