,spp,CommonName,Source,PrimerNote,Country,Site,lat,lon,stockid,CollectionYear,NumMarkers,MarkerName,CrossSpp,n,Repeat,He,Hese,file,X.y,fbsci,maxlength,mortalitywild,fecundity,maturitylength,maturitylength_mean,maturityage,maturityage_mean,numberofspawningcycles,reproductiveseasonlength,fertilization,reproductionmode,spawningground,batchspawner,parentalcare,larvaesize,fecundity_mean,larvae_mean
1,Abudefduf saxatilis,Sergeant-major,Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890,0,USA,Fort Pierce,27.05819444,-80.10330556,NA,,1,Absa1,0,12,4,0.813,NA,msats303,1,Abudefduf saxatilis,22.9,NA,NA,10.1,10.1,NA,NA,NA,8 months,external,dioecism,"c(NA, ""coastal"")",0,1,2.64,2.00E+05,2.64
2,Abudefduf saxatilis,Sergeant-major,Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890,0,USA,Fort Pierce,27.05819444,-80.10330556,NA,,1,2al10,1,12,2,0.656,NA,msats303,1,Abudefduf saxatilis,22.9,NA,NA,10.1,10.1,NA,NA,NA,8 months,external,dioecism,"c(NA, ""coastal"")",0,1,2.64,2.00E+05,2.64
3,Abudefduf saxatilis,Sergeant-major,Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890,0,USA,Fort Pierce,27.05819444,-80.10330556,NA,,1,2al13,1,12,2,0.885,NA,msats303,1,Abudefduf saxatilis,22.9,NA,NA,10.1,10.1,NA,NA,NA,8 months,external,dioecism,"c(NA, ""coastal"")",0,1,2.64,2.00E+05,2.64
4,Abudefduf saxatilis,Sergeant-major,Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890,0,USA,Fort Pierce,27.05819444,-80.10330556,NA,,1,2al2,1,12,2,0.866,NA,msats303,1,Abudefduf saxatilis,22.9,NA,NA,10.1,10.1,NA,NA,NA,8 months,external,dioecism,"c(NA, ""coastal"")",0,1,2.64,2.00E+05,2.64
5,Abudefduf saxatilis,Sergeant-major,Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890,0,USA,Fort Pierce,27.05819444,-80.10330556,NA,,1,2al24,1,11,3,0.43,NA,msats303,1,Abudefduf saxatilis,22.9,NA,NA,10.1,10.1,NA,NA,NA,8 months,external,dioecism,"c(NA, ""coastal"")",0,1,2.64,2.00E+05,2.64
6,Abudefduf saxatilis,Sergeant-major,Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890,0,USA,Fort Pierce,27.05819444,-80.10330556,NA,,1,Absa17,0,12,4,0.868,NA,msats303,1,Abudefduf saxatilis,22.9,NA,NA,10.1,10.1,NA,NA,NA,8 months,external,dioecism,"c(NA, ""coastal"")",0,1,2.64,2.00E+05,2.64
7,Abudefduf saxatilis,Sergeant-major,Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890,0,USA,Fort Pierce,27.05819444,-80.10330556,NA,,1,Absa18,0,12,4,0.872,NA,msats303,1,Abudefduf saxatilis,22.9,NA,NA,10.1,10.1,NA,NA,NA,8 months,external,dioecism,"c(NA, ""coastal"")",0,1,2.64,2.00E+05,2.64
8,Abudefduf saxatilis,Sergeant-major,Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890,0,USA,Fort Pierce,27.05819444,-80.10330556,NA,,1,Absa23,0,12,4,0.906,NA,msats303,1,Abudefduf saxatilis,22.9,NA,NA,10.1,10.1,NA,NA,NA,8 months,external,dioecism,"c(NA, ""coastal"")",0,1,2.64,2.00E+05,2.64
9,Abudefduf saxatilis,Sergeant-major,Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890,0,USA,Fort Pierce,27.05819444,-80.10330556,NA,,1,Absa10,0,12,4,0.917,NA,msats303,1,Abudefduf saxatilis,22.9,NA,NA,10.1,10.1,NA,NA,NA,8 months,external,dioecism,"c(NA, ""coastal"")",0,1,2.64,2.00E+05,2.64
10,Abudefduf saxatilis,Sergeant-major,Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890,0,USA,Fort Pierce,27.05819444,-80.10330556,NA,,1,Absa38,0,12,4,0.885,NA,msats303,1,Abudefduf saxatilis,22.9,NA,NA,10.1,10.1,NA,NA,NA,8 months,external,dioecism,"c(NA, ""coastal"")",0,1,2.64,2.00E+05,2.64
