,spp,CommonName,Source,PrimerNote,Country,Site,lat,lon,stockid,CollectionYear,NumMarkers,MarkerName,CrossSpp,n,Repeat,He,Hese,file,X.y,fbsci,maxlength,mortalitywild,fecundity,maturitylength,maturitylength_mean,maturityage,maturityage_mean,numberofspawningcycles,reproductiveseasonlength,fertilization,reproductionmode,spawningground,batchspawner,parentalcare,larvaesize,fecundity_mean,larvae_mean
11,Abudefduf saxatilis,Sergeant-major,Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890,0,USA,Fort Pierce,27.05819444,-80.10330556,NA,,1,Absa41,0,12,4,0.903,NA,msats303,1,Abudefduf saxatilis,22.9,NA,NA,10.1,10.1,NA,NA,NA,8 months,external,dioecism,"c(NA, ""coastal"")",0,1,2.64,2.00E+05,2.64
12,Abudefduf saxatilis,Sergeant-major,Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890,0,USA,Fort Pierce,27.05819444,-80.10330556,NA,,1,Absa30,0,12,4,0.868,NA,msats303,1,Abudefduf saxatilis,22.9,NA,NA,10.1,10.1,NA,NA,NA,8 months,external,dioecism,"c(NA, ""coastal"")",0,1,2.64,2.00E+05,2.64
22,Aetobatus narinari,Whitespotted eagle ray,Sellas et al. 2011 Cons Gen Res 3:609-611,1,USA,"Sarasota, FL",27.340665,-82.576786,NA,,1,SER61,0,30,2,0.939,NA,msats001,11,Aetobatus narinari,330,NA,1,"c(NA, 110, NA)",110,"c(4, NA, NA)",4,no obvious seasonal peak,2 months,internal (oviduct),dioecism,,0,NA,NA,1.5,NA
23,Aetobatus narinari,Whitespotted eagle ray,Sellas et al. 2011 Cons Gen Res 3:609-611,1,USA,"Sarasota, FL",27.340665,-82.576786,NA,,1,SER27,0,30,4,0.927,NA,msats001,11,Aetobatus narinari,330,NA,1,"c(NA, 110, NA)",110,"c(4, NA, NA)",4,no obvious seasonal peak,2 months,internal (oviduct),dioecism,,0,NA,NA,1.5,NA
24,Aetobatus narinari,Whitespotted eagle ray,Sellas et al. 2011 Cons Gen Res 3:609-611,1,USA,"Sarasota, FL",27.340665,-82.576786,NA,,1,SER44,0,30,2,0.569,NA,msats001,11,Aetobatus narinari,330,NA,1,"c(NA, 110, NA)",110,"c(4, NA, NA)",4,no obvious seasonal peak,2 months,internal (oviduct),dioecism,,0,NA,NA,1.5,NA
25,Aetobatus narinari,Whitespotted eagle ray,Sellas et al. 2011 Cons Gen Res 3:609-611,1,USA,"Sarasota, FL",27.340665,-82.576786,NA,,1,SER243,0,30,4,0.46,NA,msats001,11,Aetobatus narinari,330,NA,1,"c(NA, 110, NA)",110,"c(4, NA, NA)",4,no obvious seasonal peak,2 months,internal (oviduct),dioecism,,0,NA,NA,1.5,NA
26,Aetobatus narinari,Whitespotted eagle ray,Sellas et al. 2011 Cons Gen Res 3:609-611,1,USA,"Sarasota, FL",27.340665,-82.576786,NA,,1,SER263,0,30,2,0.511,NA,msats001,11,Aetobatus narinari,330,NA,1,"c(NA, 110, NA)",110,"c(4, NA, NA)",4,no obvious seasonal peak,2 months,internal (oviduct),dioecism,,0,NA,NA,1.5,NA
27,Aetobatus narinari,Whitespotted eagle ray,Sellas et al. 2011 Cons Gen Res 3:609-611,1,USA,"Sarasota, FL",27.340665,-82.576786,NA,,1,SER92,0,30,2,0.883,NA,msats001,11,Aetobatus narinari,330,NA,1,"c(NA, 110, NA)",110,"c(4, NA, NA)",4,no obvious seasonal peak,2 months,internal (oviduct),dioecism,,0,NA,NA,1.5,NA
28,Aetobatus narinari,Whitespotted eagle ray,Sellas et al. 2011 Cons Gen Res 3:609-611,1,USA,"Sarasota, FL",27.340665,-82.576786,NA,,1,SER159,0,30,4,0.837,NA,msats001,11,Aetobatus narinari,330,NA,1,"c(NA, 110, NA)",110,"c(4, NA, NA)",4,no obvious seasonal peak,2 months,internal (oviduct),dioecism,,0,NA,NA,1.5,NA
29,Aetobatus narinari,Whitespotted eagle ray,Sellas et al. 2011 Cons Gen Res 3:609-611,1,USA,"Sarasota, FL",27.340665,-82.576786,NA,,1,SER476,0,30,4,0.91,NA,msats001,11,Aetobatus narinari,330,NA,1,"c(NA, 110, NA)",110,"c(4, NA, NA)",4,no obvious seasonal peak,2 months,internal (oviduct),dioecism,,0,NA,NA,1.5,NA
30,Aetobatus narinari,Whitespotted eagle ray,Sellas et al. 2011 Cons Gen Res 3:609-611,1,USA,"Sarasota, FL",27.340665,-82.576786,NA,,1,SER358,0,30,4,0.334,NA,msats001,11,Aetobatus narinari,330,NA,1,"c(NA, 110, NA)",110,"c(4, NA, NA)",4,no obvious seasonal peak,2 months,internal (oviduct),dioecism,,0,NA,NA,1.5,NA
31,Aetobatus narinari,Whitespotted eagle ray,Sellas et al. 2011 Cons Gen Res 3:609-611,1,USA,"Sarasota, FL",27.340665,-82.576786,NA,,1,SER453,0,30,4,0.948,NA,msats001,11,Aetobatus narinari,330,NA,1,"c(NA, 110, NA)",110,"c(4, NA, NA)",4,no obvious seasonal peak,2 months,internal (oviduct),dioecism,,0,NA,NA,1.5,NA
47,Anoplopoma fimbria,Sablefish,M. A. Tripp-Valdez et al. (2012) J. Appl. Ichthyol. 28: 516â€“523,0,USA,Oregon,45.83555556,-124.8016667,NA,2006,1,Afi03,0,29,3,0.72,NA,msats305,27,Anoplopoma fimbria,120,94,"c(NA, 1e+05, 241200)","c(NA, NA, 58, NA, 60, NA, NA)",59,"c(NA, NA, NA, NA, 5, NA, NA)",5,NA,NA,external,dioecism,"c(NA, ""coastal"", ""oceanic"", ""shelf"")",0,3,6,170600,6
48,Anoplopoma fimbria,Sablefish,M. A. Tripp-Valdez et al. (2012) J. Appl. Ichthyol. 28: 516â€“523,0,USA,Oregon,45.83555556,-124.8016667,NA,2006,1,Afi701,0,23,4,0.9,NA,msats305,27,Anoplopoma fimbria,120,94,"c(NA, 1e+05, 241200)","c(NA, NA, 58, NA, 60, NA, NA)",59,"c(NA, NA, NA, NA, 5, NA, NA)",5,NA,NA,external,dioecism,"c(NA, ""coastal"", ""oceanic"", ""shelf"")",0,3,6,170600,6
49,Anoplopoma fimbria,Sablefish,M. A. Tripp-Valdez et al. (2012) J. Appl. Ichthyol. 28: 516â€“523,0,USA,Oregon,45.83555556,-124.8016667,NA,2006,1,Afi32A,0,24,2,0.88,NA,msats305,27,Anoplopoma fimbria,120,94,"c(NA, 1e+05, 241200)","c(NA, NA, 58, NA, 60, NA, NA)",59,"c(NA, NA, NA, NA, 5, NA, NA)",5,NA,NA,external,dioecism,"c(NA, ""coastal"", ""oceanic"", ""shelf"")",0,3,6,170600,6
50,Anoplopoma fimbria,Sablefish,M. A. Tripp-Valdez et al. (2012) J. Appl. Ichthyol. 28: 516â€“523,0,USA,Oregon,45.83555556,-124.8016667,NA,2006,1,AfiP3A,0,31,2,0.89,NA,msats305,27,Anoplopoma fimbria,120,94,"c(NA, 1e+05, 241200)","c(NA, NA, 58, NA, 60, NA, NA)",59,"c(NA, NA, NA, NA, 5, NA, NA)",5,NA,NA,external,dioecism,"c(NA, ""coastal"", ""oceanic"", ""shelf"")",0,3,6,170600,6
64,Brevoortia gunteri,Finescale menhaden,Anderson & Karel (2013) Fish. Bull. 112:71-81,0,USA,Sabine Lake,30.042056,-93.820792,NA,2002-2004,1,Bp017,1,22,4,0.426,NA,msats301,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
65,Brevoortia gunteri,Finescale menhaden,Anderson & Karel (2013) Fish. Bull. 112:71-81,0,USA,Sabine Lake,30.042056,-93.820792,NA,2002-2004,1,Bp003,1,22,4,0.13,NA,msats301,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
66,Brevoortia gunteri,Finescale menhaden,Anderson & Karel (2013) Fish. Bull. 112:71-81,0,USA,Sabine Lake,30.042056,-93.820792,NA,2002-2004,1,Bp473,1,22,4,0.13,NA,msats301,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
67,Brevoortia gunteri,Finescale menhaden,Anderson & Karel (2013) Fish. Bull. 112:71-81,0,USA,Sabine Lake,30.042056,-93.820792,NA,2002-2004,1,Bp489,1,22,3,0.045,NA,msats301,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
68,Brevoortia gunteri,Finescale menhaden,Anderson & Karel (2013) Fish. Bull. 112:71-81,0,USA,Sabine Lake,30.042056,-93.820792,NA,2002-2004,1,Bp500,1,22,3,0.355,NA,msats301,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
69,Brevoortia gunteri,Finescale menhaden,Anderson & Karel (2013) Fish. Bull. 112:71-81,0,USA,Sabine Lake,30.042056,-93.820792,NA,2002-2004,1,Bp531,1,22,3,0.593,NA,msats301,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
70,Brevoortia gunteri,Finescale menhaden,Anderson & McDonald 2007 J Fish Bio,1,USA,"Lower Laguna Madre, Corpus Christi Bay, East Matagorda Bay, and Galveston Bay (Texas)",28.516969,-95.892334,NA,"2004, 2005",1,AF039657,1,60,3,0.066,NA,ppdat,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
71,Brevoortia gunteri,Finescale menhaden,Anderson & McDonald 2007 J Fish Bio,1,USA,"Lower Laguna Madre, Corpus Christi Bay, East Matagorda Bay, and Galveston Bay (Texas)",28.516969,-95.892334,NA,"2004, 2005",1,AF039658,1,60,3,0.823,NA,ppdat,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
72,Brevoortia gunteri,Finescale menhaden,Anderson & Karel (2013) Fish. Bull. 112:71-81,0,USA,Sabine Lake,30.042056,-93.820792,NA,2002-2004,1,Bp039,1,22,4,0.133,NA,msats301,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
73,Brevoortia gunteri,Finescale menhaden,Anderson & Karel (2013) Fish. Bull. 112:71-81,0,USA,Sabine Lake,30.042056,-93.820792,NA,2002-2004,1,Bp121,1,22,4,0.719,NA,msats301,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
74,Brevoortia gunteri,Finescale menhaden,Anderson & Karel (2013) Fish. Bull. 112:71-81,0,USA,Sabine Lake,30.042056,-93.820792,NA,2002-2004,1,Bp221,1,22,3,0.575,NA,msats301,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
75,Brevoortia gunteri,Finescale menhaden,Anderson & Karel (2013) Fish. Bull. 112:71-81,0,USA,Sabine Lake,30.042056,-93.820792,NA,2002-2004,1,Bp230,1,22,3,0.769,NA,msats301,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
76,Brevoortia gunteri,Finescale menhaden,Anderson & Karel (2013) Fish. Bull. 112:71-81,0,USA,Sabine Lake,30.042056,-93.820792,NA,2002-2004,1,Bp239,1,22,3,0.862,NA,msats301,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
77,Brevoortia gunteri,Finescale menhaden,Anderson & Karel (2013) Fish. Bull. 112:71-81,0,USA,Sabine Lake,30.042056,-93.820792,NA,2002-2004,1,Bp275,1,22,6,0.662,NA,msats301,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
78,Brevoortia gunteri,Finescale menhaden,Anderson & Karel (2013) Fish. Bull. 112:71-81,0,USA,Sabine Lake,30.042056,-93.820792,NA,2002-2004,1,Bp301,1,22,4,0.779,NA,msats301,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
79,Brevoortia gunteri,Finescale menhaden,Lynch 2008 Thesis,0,USA,West Louisiana,29.506549,-92.550659,NA,2006-2007,1,Asa4,1,25,3,0.799,NA,ppdat,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
80,Brevoortia gunteri,Finescale menhaden,Lynch 2008 Thesis,0,USA,West Louisiana,29.506549,-92.550659,NA,2006-2007,1,AsaB020,1,24,3,0.473,NA,ppdat,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
81,Brevoortia gunteri,Finescale menhaden,Lynch 2008 Thesis,0,USA,West Louisiana,29.506549,-92.550659,NA,2006-2007,1,AsaC334,1,25,4,0.91,NA,ppdat,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
82,Brevoortia gunteri,Finescale menhaden,Lynch 2008 Thesis,0,USA,West Louisiana,29.506549,-92.550659,NA,2006-2007,1,AsaD055,1,11,4,0.809,NA,ppdat,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
83,Brevoortia gunteri,Finescale menhaden,Lynch 2008 Thesis,0,USA,West Louisiana,29.506549,-92.550659,NA,2006-2007,1,SarBH04,1,21,2,0.851,NA,ppdat,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
84,Brevoortia gunteri,Finescale menhaden,Anderson & McDonald 2007 J Fish Bio,1,USA,"Lower Laguna Madre, Corpus Christi Bay, East Matagorda Bay, and Galveston Bay (Texas)",28.516969,-95.892334,NA,"2004, 2005",1,AF049462,1,60,3,0.783,NA,ppdat,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
85,Brevoortia gunteri,Finescale menhaden,Anderson 2007 Fish Bull,0,USA,Western Gulf of Mexico,28.459033,-96.071778,NA,2002-2004,4,AF39661,1,39,NA,0.41,NA,ppdat,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
86,Brevoortia gunteri,Finescale menhaden,Anderson & McDonald 2007 J Fish Bio,1,USA,"Lower Laguna Madre, Corpus Christi Bay, East Matagorda Bay, and Galveston Bay (Texas)",28.516969,-95.892334,NA,"2004, 2005",1,AF039660,1,60,4,0.603,NA,ppdat,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
87,Brevoortia gunteri,Finescale menhaden,Anderson & McDonald 2007 J Fish Bio,1,USA,"Lower Laguna Madre, Corpus Christi Bay, East Matagorda Bay, and Galveston Bay (Texas)",28.516969,-95.892334,NA,"2004, 2005",1,AF039661,1,60,4,0.184,NA,ppdat,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
88,Brevoortia gunteri,Finescale menhaden,Lynch 2008 Thesis,0,USA,West Louisiana,29.506549,-92.550659,NA,2006-2007,1,Asa2,1,25,3,0,NA,ppdat,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
89,Brevoortia gunteri,Finescale menhaden,Lynch 2008 Thesis,0,USA,West Louisiana,29.506549,-92.550659,NA,2006-2007,1,Aa16,1,24,2,0.507,NA,ppdat,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
90,Brevoortia gunteri,Finescale menhaden,Lynch 2008 Thesis,0,USA,West Louisiana,29.506549,-92.550659,NA,2006-2007,1,Asa16,1,25,3,0.738,NA,ppdat,41,Brevoortia gunteri,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,3,NA,NA,NA
91,Brevoortia patronus,Gulf menhaden,Anderson & Karel 2007 J Fish Bio,0,USA,Louisiana,29.123373,-90.990601,MENATGM,,5,,1,20,NA,0.61,NA,ppdat,42,Brevoortia patronus,35,NA,"c(5000, NA, NA)","c(14.5, NA, NA)",14.5,"c(1, NA, NA)",1,one clear seasonal peak per year,5 months,external,dioecism,coastal,0,3,NA,5000,NA
92,Brevoortia patronus,Gulf menhaden,Anderson & Karel 2007 J Fish Bio,0,USA,"Galveston, TX",29.292687,-94.77396,MENATGM,,5,,1,20,NA,0.66,NA,ppdat,42,Brevoortia patronus,35,NA,"c(5000, NA, NA)","c(14.5, NA, NA)",14.5,"c(1, NA, NA)",1,one clear seasonal peak per year,5 months,external,dioecism,coastal,0,3,NA,5000,NA
93,Brevoortia patronus,Gulf menhaden,Lynch et al. 2010 Fish Bull,0,USA,"Gulf of Mexico (Galveston, TX and Cameron, LA)",29.64032,-93.906555,MENATGM,2006-2007,1,AsaD055,1,45,4,0.912,NA,ppdat,42,Brevoortia patronus,35,NA,"c(5000, NA, NA)","c(14.5, NA, NA)",14.5,"c(1, NA, NA)",1,one clear seasonal peak per year,5 months,external,dioecism,coastal,0,3,NA,5000,NA
94,Brevoortia patronus,Gulf menhaden,Lynch et al. 2010 Fish Bull,0,USA,"Gulf of Mexico (Galveston, TX and Cameron, LA)",29.64032,-93.906555,MENATGM,2006-2007,1,Asa2,1,49,3,0.641,NA,ppdat,42,Brevoortia patronus,35,NA,"c(5000, NA, NA)","c(14.5, NA, NA)",14.5,"c(1, NA, NA)",1,one clear seasonal peak per year,5 months,external,dioecism,coastal,0,3,NA,5000,NA
95,Brevoortia patronus,Gulf menhaden,Lynch et al. 2010 Fish Bull,0,USA,"Gulf of Mexico (Galveston, TX and Cameron, LA)",29.64032,-93.906555,MENATGM,2006-2007,1,AsaC334,1,49,4,0.855,NA,ppdat,42,Brevoortia patronus,35,NA,"c(5000, NA, NA)","c(14.5, NA, NA)",14.5,"c(1, NA, NA)",1,one clear seasonal peak per year,5 months,external,dioecism,coastal,0,3,NA,5000,NA
96,Brevoortia patronus,Gulf menhaden,Lynch et al. 2010 Fish Bull,0,USA,"Gulf of Mexico (Galveston, TX and Cameron, LA)",29.64032,-93.906555,MENATGM,2006-2007,1,AsaB020,1,49,3,0.939,NA,ppdat,42,Brevoortia patronus,35,NA,"c(5000, NA, NA)","c(14.5, NA, NA)",14.5,"c(1, NA, NA)",1,one clear seasonal peak per year,5 months,external,dioecism,coastal,0,3,NA,5000,NA
97,Brevoortia patronus,Gulf menhaden,Lynch et al. 2010 Fish Bull,0,USA,"Gulf of Mexico (Galveston, TX and Cameron, LA)",29.64032,-93.906555,MENATGM,2006-2007,1,SarBH04,1,44,2,0.442,NA,ppdat,42,Brevoortia patronus,35,NA,"c(5000, NA, NA)","c(14.5, NA, NA)",14.5,"c(1, NA, NA)",1,one clear seasonal peak per year,5 months,external,dioecism,coastal,0,3,NA,5000,NA
98,Brevoortia patronus,Gulf menhaden,Lynch et al. 2010 Fish Bull,0,USA,"Gulf of Mexico (Galveston, TX and Cameron, LA)",29.64032,-93.906555,MENATGM,2006-2007,1,Asa16,1,45,3,0.812,NA,ppdat,42,Brevoortia patronus,35,NA,"c(5000, NA, NA)","c(14.5, NA, NA)",14.5,"c(1, NA, NA)",1,one clear seasonal peak per year,5 months,external,dioecism,coastal,0,3,NA,5000,NA
99,Brevoortia patronus,Gulf menhaden,Anderson & Karel 2007 J Fish Bio,0,USA,"Matagorda, TX",28.595374,-95.960884,MENATGM,,5,,1,20,NA,0.63,NA,ppdat,42,Brevoortia patronus,35,NA,"c(5000, NA, NA)","c(14.5, NA, NA)",14.5,"c(1, NA, NA)",1,one clear seasonal peak per year,5 months,external,dioecism,coastal,0,3,NA,5000,NA
100,Brevoortia patronus,Gulf menhaden,Anderson & McDonald 2007 J Fish Bio,1,USA,"Lower Laguna Madre, Corpus Christi Bay, East Matagorda Bay, and Galveston Bay (Texas)",28.516969,-95.892334,MENATGM,"2004, 2005",1,AF039658,1,60,3,0.883,NA,ppdat,42,Brevoortia patronus,35,NA,"c(5000, NA, NA)","c(14.5, NA, NA)",14.5,"c(1, NA, NA)",1,one clear seasonal peak per year,5 months,external,dioecism,coastal,0,3,NA,5000,NA
101,Brevoortia patronus,Gulf menhaden,Anderson & McDonald 2007 J Fish Bio,1,USA,"Lower Laguna Madre, Corpus Christi Bay, East Matagorda Bay, and Galveston Bay (Texas)",28.516969,-95.892334,MENATGM,"2004, 2005",1,AF039660,1,60,4,0.586,NA,ppdat,42,Brevoortia patronus,35,NA,"c(5000, NA, NA)","c(14.5, NA, NA)",14.5,"c(1, NA, NA)",1,one clear seasonal peak per year,5 months,external,dioecism,coastal,0,3,NA,5000,NA
102,Brevoortia patronus,Gulf menhaden,Anderson & McDonald 2007 J Fish Bio,1,USA,"Lower Laguna Madre, Corpus Christi Bay, East Matagorda Bay, and Galveston Bay (Texas)",28.516969,-95.892334,MENATGM,"2004, 2005",1,AF049462,1,60,3,0.923,NA,ppdat,42,Brevoortia patronus,35,NA,"c(5000, NA, NA)","c(14.5, NA, NA)",14.5,"c(1, NA, NA)",1,one clear seasonal peak per year,5 months,external,dioecism,coastal,0,3,NA,5000,NA
103,Brevoortia patronus,Gulf menhaden,Anderson & McDonald 2007 J Fish Bio,1,USA,"Lower Laguna Madre, Corpus Christi Bay, East Matagorda Bay, and Galveston Bay (Texas)",28.516969,-95.892334,MENATGM,"2004, 2005",1,AF039661,1,60,4,0.126,NA,ppdat,42,Brevoortia patronus,35,NA,"c(5000, NA, NA)","c(14.5, NA, NA)",14.5,"c(1, NA, NA)",1,one clear seasonal peak per year,5 months,external,dioecism,coastal,0,3,NA,5000,NA
104,Brevoortia patronus,Gulf menhaden,Anderson & McDonald 2007 J Fish Bio,1,USA,"Lower Laguna Madre, Corpus Christi Bay, East Matagorda Bay, and Galveston Bay (Texas)",28.516969,-95.892334,MENATGM,"2004, 2005",1,AF039657,1,60,3,0.736,NA,ppdat,42,Brevoortia patronus,35,NA,"c(5000, NA, NA)","c(14.5, NA, NA)",14.5,"c(1, NA, NA)",1,one clear seasonal peak per year,5 months,external,dioecism,coastal,0,3,NA,5000,NA
105,Brevoortia patronus,Gulf menhaden,Anderson 2007 Fish Bull,0,USA,Northern Gulf of Mexico,29.506549,-92.550659,MENATGM,2002-2004,4,AF49462,1,39,NA,0.67,NA,ppdat,42,Brevoortia patronus,35,NA,"c(5000, NA, NA)","c(14.5, NA, NA)",14.5,"c(1, NA, NA)",1,one clear seasonal peak per year,5 months,external,dioecism,coastal,0,3,NA,5000,NA
106,Brevoortia patronus,Gulf menhaden,Lynch et al. 2010 Fish Bull,0,USA,"Gulf of Mexico (Galveston, TX and Cameron, LA)",29.64032,-93.906555,MENATGM,2006-2007,1,Asa4,1,44,3,0.79,NA,ppdat,42,Brevoortia patronus,35,NA,"c(5000, NA, NA)","c(14.5, NA, NA)",14.5,"c(1, NA, NA)",1,one clear seasonal peak per year,5 months,external,dioecism,coastal,0,3,NA,5000,NA
