"","X","spp","CommonName","Source","PrimerNote","Country","Site","lat","lon","stockid","CollectionYear","NumMarkers","MarkerName","CrossSpp","n","Repeat","He","Hese","file"
"1",76,"Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"USA","Fort Pierce",27.0581944444444,-80.1033055555556,NA,"",1,"Absa1",0,"12","4",0.813,NA,"msats303"
"2",77,"Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"USA","Fort Pierce",27.0581944444444,-80.1033055555556,NA,"",1,"Absa10",0,"12","4",0.917,NA,"msats303"
"3",78,"Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"USA","Fort Pierce",27.0581944444444,-80.1033055555556,NA,"",1,"Absa17",0,"12","4",0.868,NA,"msats303"
"4",79,"Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"USA","Fort Pierce",27.0581944444444,-80.1033055555556,NA,"",1,"Absa18",0,"12","4",0.872,NA,"msats303"
"5",80,"Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"USA","Fort Pierce",27.0581944444444,-80.1033055555556,NA,"",1,"Absa23",0,"12","4",0.906,NA,"msats303"
"6",81,"Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"USA","Fort Pierce",27.0581944444444,-80.1033055555556,NA,"",1,"Absa30",0,"12","4",0.868,NA,"msats303"
"7",82,"Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"USA","Fort Pierce",27.0581944444444,-80.1033055555556,NA,"",1,"Absa38",0,"12","4",0.885,NA,"msats303"
"8",83,"Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"USA","Fort Pierce",27.0581944444444,-80.1033055555556,NA,"",1,"Absa41",0,"12","4",0.903,NA,"msats303"
"9",84,"Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"USA","Fort Pierce",27.0581944444444,-80.1033055555556,NA,"",1,"2al10",1,"12","2",0.656,NA,"msats303"
"10",85,"Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"USA","Fort Pierce",27.0581944444444,-80.1033055555556,NA,"",1,"2al13",1,"12","2",0.885,NA,"msats303"
