"","spp","CommonName","Source","PrimerNote","Country","Site","lat","lon","stockid","CollectionYear","NumMarkers","MarkerName","CrossSpp","n","Repeat","He","Hese","file","maxlength","fecundity","fecundity_mean","reproductiveseasonlength","fertilization","reproductionmode"
"1","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819444","-80.10330556",NA,"","1","Absa1","0","12","4","0.813","NA","msats303","22.9","NA","NaN","NA","external","dioecism"
"2","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819444","-80.10330556",NA,"","1","Absa10","0","12","4","0.917","NA","msats303","22.9","NA","NaN","NA","external","dioecism"
"3","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819444","-80.10330556",NA,"","1","Absa17","0","12","4","0.868","NA","msats303","22.9","NA","NaN","NA","external","dioecism"
"4","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819444","-80.10330556",NA,"","1","Absa18","0","12","4","0.872","NA","msats303","22.9","NA","NaN","NA","external","dioecism"
"5","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819444","-80.10330556",NA,"","1","Absa23","0","12","4","0.906","NA","msats303","22.9","NA","NaN","NA","external","dioecism"
"6","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819444","-80.10330556",NA,"","1","Absa30","0","12","4","0.868","NA","msats303","22.9","NA","NaN","NA","external","dioecism"
"7","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819444","-80.10330556",NA,"","1","Absa38","0","12","4","0.885","NA","msats303","22.9","NA","NaN","NA","external","dioecism"
"8","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819444","-80.10330556",NA,"","1","Absa41","0","12","4","0.903","NA","msats303","22.9","NA","NaN","NA","external","dioecism"
"9","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819444","-80.10330556",NA,"","1","2al10","1","12","2","0.656","NA","msats303","22.9","NA","NaN","NA","external","dioecism"
"10","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819444","-80.10330556",NA,"","1","2al13","1","12","2","0.885","NA","msats303","22.9","NA","NaN","NA","external","dioecism"
